序号,年份,月份,套数,考试时间,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,完整答案
1,2016,6,1,2016年6月,D,A,D,B,A,B,C,C,B,A,C,A,D,D,B,D,B,A,C,B,D,D,A,A,C,DADBABCCBACADDBDBACBDDAAC
2,2016,6,2,2016年6月,A,B,C,D,A,B,B,C,C,D,B,A,D,A,C,A,B,C,D,D,C,D,B,D,A,ABCDABBCCDBADACABCDDCDBDA
3,2016,6,3,2016年6月,B,A,A,C,D,D,B,C,A,B,A,B,D,A,B,B,B,A,D,B,A,C,C,B,A,BAACDDBCABABDABBBADBACCBA
4,2016,12,1,2016年12月,B,A,D,A,C,B,A,B,D,C,C,C,D,D,A,C,B,D,C,B,A,C,D,A,B,BADACBABDCCCDDACBDCBACDAB
5,2016,12,2,2016年12月,C,C,A,B,C,A,D,A,C,D,B,B,D,A,B,D,B,C,B,D,C,A,A,D,D,CCABCADACDBBDABDBCBDCAADD
6,2017,6,1,2017年6月,B,B,A,C,D,C,A,D,C,D,C,B,C,D,A,B,D,A,D,C,C,A,B,B,A,BBACDCADCDCBCDABDADCCABBA
7,2017,6,2,2017年6月,A,D,A,D,C,D,C,A,B,D,C,B,D,B,C,B,A,A,D,B,C,A,C,D,B,ADADCDCABDCBDBCBAADBCACDB
8,2017,12,1,2017年12月,C,B,D,A,B,D,C,D,A,D,C,A,B,B,D,D,B,A,B,C,B,A,A,C,D,CBDABDCDADCABBDDBABCBAACD
9,2017,12,2,2017年12月,A,D,B,C,B,A,C,D,B,C,D,A,D,C,B,C,D,A,D,A,B,C,B,D,A,ADBCBACDBCDADCBCDADABCBDA
10,2018,6,1,2018年6月,B,A,D,C,B,A,D,D,C,A,C,B,C,A,B,D,A,B,D,C,A,C,A,D,B,BADCBADDCACBCABDABDCACADB
